id,wh,fg_sku_code,mth_num,mto_demand_next_month,mts_demand_next_month,inventory_days_norm,store_cost,mts_demand_next_3_months,min_os,max_os,min_cs,max_cs,max_sup_lim,m1os_gfc,m1os_kfc,m1os_nfc,fg_wt_per_unit,cs_norm,norm_markup,m1os_x,next_3_months_demand_total,os_gfc,in_gfc,out_gfc,cs_gfc,max_supply_gfc,os_kfc,in_kfc,out_kfc,cs_kfc,max_supply_kfc,os_nfc,in_nfc,out_nfc,cs_nfc,max_supply_nfc,os_x,in_x,out_x,cs_x,max_supply_x,os_tot,in_tot,out_tot,cs_tot,max_supply_tot,cs_wt_gfc,cs_wt_kfc,cs_wt_nfc,final_norm,avg_stock,supply_gfc,supply_kfc,supply_nfc,supply_x,os_ge_min,os_le_max,cs_ge_min,cs_le_max,storage_cost,icc,row_cost,storage_cost_v2,workbook_id,created_at,updated_at,os_gfc_formula,in_gfc_formula,out_gfc_formula,cs_gfc_formula,os_kfc_formula,in_kfc_formula,out_kfc_formula,cs_kfc_formula,os_nfc_formula,in_nfc_formula,out_nfc_formula,cs_nfc_formula,os_x_formula,in_x_formula,out_x_formula,cs_x_formula,os_tot_formula,in_tot_formula,out_tot_formula,cs_tot_formula,storage_cost_formula,storage_cost_v2_formula,avg_stock_formula,cs_wt_gfc_formula,cs_wt_kfc_formula,cs_wt_nfc_formula
11,GFCM,SKU001,11,81.00,215.00,51,0.0100,462.00,0.00,10000000000.00,39.00,10000000000.00,1.00,86.00,0.00,0.00,0.5489,0.00,1.00,0.00,725.00,86.00,134.60,105.00,115.60,0.00,0.00,88.80,110.30,-21.50,0.00,0.00,72.60,80.70,-8.10,0.00,0.00,0.00,0.00,0.00,0.00,86.00,296.00,296.00,86.00,0.00,63.4528,-11.8014,-4.4461,0.00,86.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.8600,0.0000,0.0000,0.4300,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GFCM,SKU001,12,11.00,138.00,50,0.0100,467.00,0.00,10000000000.00,17.00,10000000000.00,1.00,104.00,0.00,0.00,1.9278,0.00,1.00,0.00,450.00,104.00,61.80,46.90,118.90,0.00,0.00,44.70,58.50,-13.80,0.00,0.00,42.50,43.60,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,104.00,149.00,149.00,104.00,0.00,229.2154,-26.6036,-2.1206,0.00,104.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.0400,0.0000,0.0000,0.5200,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KFCM,SKU001,1,89.00,191.00,38,0.0100,327.00,0.00,10000000000.00,56.00,10000000000.00,1.00,0.00,75.00,0.00,1.8335,0.00,1.00,0.00,352.00,0.00,129.80,101.80,28.00,0.00,75.00,84.00,103.10,55.90,0.00,0.00,66.20,75.10,-8.90,0.00,0.00,0.00,0.00,0.00,0.00,75.00,280.00,280.00,75.00,0.00,51.3380,102.4927,-16.3182,0.00,75.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.7500,0.0000,0.0000,0.3750,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KFCM,SKU001,2,94.00,72.00,41,0.0100,434.00,0.00,10000000000.00,21.00,10000000000.00,1.00,0.00,72.00,0.00,0.7472,0.00,1.00,0.00,313.00,0.00,85.20,68.60,16.60,0.00,72.00,49.80,57.00,64.80,0.00,0.00,31.00,40.40,-9.40,0.00,0.00,0.00,0.00,0.00,0.00,72.00,166.00,166.00,72.00,0.00,12.4035,48.4186,-7.0237,0.00,72.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.7200,0.0000,0.0000,0.3600,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
15,KFCM,SKU001,3,72.00,192.00,58,0.0100,605.00,0.00,10000000000.00,19.00,10000000000.00,1.00,0.00,32.00,0.00,1.0404,0.00,1.00,0.00,529.00,0.00,120.00,93.60,26.40,0.00,32.00,79.20,98.40,12.80,0.00,0.00,64.80,72.00,-7.20,0.00,0.00,0.00,0.00,0.00,0.00,32.00,264.00,264.00,32.00,0.00,27.4666,13.3171,-7.4909,0.00,32.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.3200,0.0000,0.0000,0.1600,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
16,KFCM,SKU001,4,58.00,246.00,42,0.0100,255.00,0.00,10000000000.00,11.00,10000000000.00,1.00,0.00,72.00,0.00,0.7405,0.00,1.00,0.00,679.00,0.00,133.20,102.80,30.40,0.00,72.00,91.20,115.80,47.40,0.00,0.00,79.60,85.40,-5.80,0.00,0.00,0.00,0.00,0.00,0.00,72.00,304.00,304.00,72.00,0.00,22.5112,35.0997,-4.2949,0.00,72.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.7200,0.0000,0.0000,0.3600,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KFCM,SKU001,5,21.00,177.00,31,0.0100,154.00,0.00,10000000000.00,34.00,10000000000.00,1.00,0.00,50.00,0.00,1.9767,0.00,1.00,0.00,637.00,0.00,83.40,63.60,19.80,0.00,50.00,59.40,77.10,32.30,0.00,0.00,55.20,57.30,-2.10,0.00,0.00,0.00,0.00,0.00,0.00,50.00,198.00,198.00,50.00,0.00,39.1387,63.8474,-4.1511,0.00,50.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.5000,0.0000,0.0000,0.2500,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KFCM,SKU001,6,91.00,83.00,37,0.0100,424.00,0.00,10000000000.00,58.00,10000000000.00,1.00,0.00,63.00,0.00,0.8632,0.00,1.00,0.00,428.00,0.00,87.80,70.40,17.40,0.00,63.00,52.20,60.50,54.70,0.00,0.00,34.00,43.10,-9.10,0.00,0.00,0.00,0.00,0.00,0.00,63.00,174.00,174.00,63.00,0.00,15.0197,47.2170,-7.8551,0.00,63.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.6300,0.0000,0.0000,0.3150,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
19,KFCM,SKU001,7,98.00,96.00,33,0.0100,472.00,0.00,10000000000.00,10.00,10000000000.00,1.00,0.00,108.00,0.00,1.5030,0.00,1.00,0.00,533.00,0.00,97.20,77.80,19.40,0.00,108.00,58.20,67.80,98.40,0.00,0.00,38.60,48.40,-9.80,0.00,0.00,0.00,0.00,0.00,0.00,108.00,194.00,194.00,108.00,0.00,29.1582,147.8952,-14.7294,0.00,108.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.0800,0.0000,0.0000,0.5400,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KFCM,SKU001,8,24.00,218.00,39,0.0100,606.00,0.00,10000000000.00,52.00,10000000000.00,1.00,0.00,35.00,0.00,1.2306,0.00,1.00,0.00,581.00,0.00,101.60,77.40,24.20,0.00,35.00,72.60,94.40,13.20,0.00,0.00,67.80,70.20,-2.40,0.00,0.00,0.00,0.00,0.00,0.00,35.00,242.00,242.00,35.00,0.00,29.7805,16.2439,-2.9534,0.00,35.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.3500,0.0000,0.0000,0.1750,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KFCM,SKU001,9,68.00,234.00,58,0.0100,635.00,0.00,10000000000.00,24.00,10000000000.00,1.00,0.00,119.00,0.00,1.7963,0.00,1.00,0.00,293.00,0.00,134.40,104.20,30.20,0.00,119.00,90.60,114.00,95.60,0.00,0.00,77.00,83.80,-6.80,0.00,0.00,0.00,0.00,0.00,0.00,119.00,302.00,302.00,119.00,0.00,54.2483,171.7263,-12.2148,0.00,119.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.1900,0.0000,0.0000,0.5950,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KFCM,SKU001,10,26.00,249.00,42,0.0100,340.00,0.00,10000000000.00,13.00,10000000000.00,1.00,0.00,116.00,0.00,1.3131,0.00,1.00,0.00,414.00,0.00,115.20,87.70,27.50,0.00,116.00,82.50,107.40,91.10,0.00,0.00,77.30,79.90,-2.60,0.00,0.00,0.00,0.00,0.00,0.00,116.00,275.00,275.00,116.00,0.00,36.1103,119.6234,-3.4141,0.00,116.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,1.1600,0.0000,0.0000,0.5800,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KFCM,SKU001,11,29.00,234.00,49,0.0100,230.00,0.00,10000000000.00,48.00,10000000000.00,1.00,0.00,37.00,0.00,1.9978,0.00,1.00,0.00,200.00,0.00,111.00,84.70,26.30,0.00,37.00,78.90,102.30,13.60,0.00,0.00,73.10,76.00,-2.90,0.00,0.00,0.00,0.00,0.00,0.00,37.00,263.00,263.00,37.00,0.00,52.5421,27.1701,-5.7936,0.00,37.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.3700,0.0000,0.0000,0.1850,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
24,KFCM,SKU001,12,78.00,63.00,39,0.0100,215.00,0.00,10000000000.00,34.00,10000000000.00,1.00,0.00,69.00,0.00,0.5128,0.00,1.00,0.00,379.00,0.00,72.00,57.90,14.10,0.00,69.00,42.30,48.60,62.70,0.00,0.00,26.70,34.50,-7.80,0.00,0.00,0.00,0.00,0.00,0.00,69.00,141.00,141.00,69.00,0.00,7.2305,32.1526,-3.9998,0.00,69.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.6900,0.0000,0.0000,0.3450,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NFCM,SKU001,1,63.00,110.00,35,0.0100,366.00,0.00,10000000000.00,23.00,10000000000.00,1.00,0.00,0.00,33.00,1.3024,0.00,1.00,0.00,719.00,0.00,81.80,64.50,17.30,0.00,0.00,51.90,62.90,-11.00,0.00,33.00,39.30,45.60,26.70,0.00,0.00,0.00,0.00,0.00,0.00,33.00,173.00,173.00,33.00,0.00,22.5315,-14.3264,34.7741,0.00,33.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.3300,0.0000,0.0000,0.1650,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NFCM,SKU001,2,84.00,221.00,53,0.0100,383.00,0.00,10000000000.00,54.00,10000000000.00,1.00,0.00,0.00,66.00,2.3226,0.00,1.00,0.00,650.00,0.00,138.80,108.30,30.50,0.00,0.00,91.50,113.60,-22.10,0.00,66.00,74.70,83.10,57.60,0.00,0.00,0.00,0.00,0.00,0.00,66.00,305.00,305.00,66.00,0.00,70.8393,-51.3295,133.7818,0.00,66.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.6600,0.0000,0.0000,0.3300,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NFCM,SKU001,3,99.00,131.00,52,0.0100,218.00,0.00,10000000000.00,38.00,10000000000.00,1.00,0.00,0.00,90.00,1.7634,0.00,1.00,0.00,467.00,0.00,111.80,88.80,23.00,0.00,0.00,69.00,82.10,-13.10,0.00,90.00,49.20,59.10,80.10,0.00,0.00,0.00,0.00,0.00,0.00,90.00,230.00,230.00,90.00,0.00,40.5582,-23.1005,141.2483,0.00,90.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.9000,0.0000,0.0000,0.4500,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NFCM,SKU001,4,13.00,235.00,37,0.0100,425.00,0.00,10000000000.00,46.00,10000000000.00,1.00,0.00,0.00,70.00,1.9165,0.00,1.00,0.00,651.00,0.00,101.80,77.00,24.80,0.00,0.00,74.40,97.90,-23.50,0.00,70.00,71.80,73.10,68.70,0.00,0.00,0.00,0.00,0.00,0.00,70.00,248.00,248.00,70.00,0.00,47.5292,-45.0378,131.6636,0.00,70.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.7000,0.0000,0.0000,0.3500,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NFCM,SKU001,5,40.00,187.00,45,0.0100,473.00,0.00,10000000000.00,11.00,10000000000.00,1.00,0.00,0.00,27.00,2.2266,0.00,1.00,0.00,221.00,0.00,98.80,76.10,22.70,0.00,0.00,68.10,86.80,-18.70,0.00,27.00,60.10,64.10,23.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,227.00,227.00,27.00,0.00,50.5438,-41.6374,51.2118,0.00,27.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.2700,0.0000,0.0000,0.1350,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NFCM,SKU001,6,18.00,240.00,37,0.0100,399.00,0.00,10000000000.00,19.00,10000000000.00,1.00,0.00,0.00,78.00,1.6919,0.00,1.00,0.00,725.00,0.00,106.80,81.00,25.80,0.00,0.00,77.40,101.40,-24.00,0.00,78.00,73.80,75.60,76.20,0.00,0.00,0.00,0.00,0.00,0.00,78.00,258.00,258.00,78.00,0.00,43.6510,-40.6056,128.9228,0.00,78.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.7800,0.0000,0.0000,0.3900,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NFCM,SKU001,7,55.00,195.00,57,0.0100,270.00,0.00,10000000000.00,10.00,10000000000.00,1.00,0.00,0.00,42.00,1.1796,0.00,1.00,0.00,570.00,0.00,111.00,86.00,25.00,0.00,0.00,75.00,94.50,-19.50,0.00,42.00,64.00,69.50,36.50,0.00,0.00,0.00,0.00,0.00,0.00,42.00,250.00,250.00,42.00,0.00,29.4900,-23.0022,43.0554,0.00,42.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.4200,0.0000,0.0000,0.2100,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NFCM,SKU001,8,98.00,131.00,55,0.0100,280.00,0.00,10000000000.00,29.00,10000000000.00,1.00,0.00,0.00,35.00,0.8042,0.00,1.00,0.00,672.00,0.00,111.20,88.30,22.90,0.00,0.00,68.70,81.80,-13.10,0.00,35.00,49.10,58.90,25.20,0.00,0.00,0.00,0.00,0.00,0.00,35.00,229.00,229.00,35.00,0.00,18.4162,-10.5350,20.2658,0.00,35.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.3500,0.0000,0.0000,0.1750,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
33,NFCM,SKU001,9,17.00,162.00,56,0.0100,401.00,0.00,10000000000.00,41.00,10000000000.00,1.00,0.00,0.00,49.00,1.8233,0.00,1.00,0.00,577.00,0.00,75.00,57.10,17.90,0.00,0.00,53.70,69.90,-16.20,0.00,49.00,50.30,52.00,47.30,0.00,0.00,0.00,0.00,0.00,0.00,49.00,179.00,179.00,49.00,0.00,32.6371,-29.5375,86.2421,0.00,49.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.4900,0.0000,0.0000,0.2450,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NFCM,SKU001,10,74.00,205.00,45,0.0100,197.00,0.00,10000000000.00,42.00,10000000000.00,1.00,0.00,0.00,79.00,0.9462,0.00,1.00,0.00,541.00,0.00,126.40,98.50,27.90,0.00,0.00,83.70,104.20,-20.50,0.00,79.00,68.90,76.30,71.60,0.00,0.00,0.00,0.00,0.00,0.00,79.00,279.00,279.00,79.00,0.00,26.3990,-19.3971,67.7479,0.00,79.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.7900,0.0000,0.0000,0.3950,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NFCM,SKU001,11,99.00,241.00,56,0.0100,382.00,0.00,10000000000.00,33.00,10000000000.00,1.00,0.00,0.00,66.00,2.2678,0.00,1.00,0.00,392.00,0.00,155.80,121.80,34.00,0.00,0.00,102.00,126.10,-24.10,0.00,66.00,82.20,92.10,56.10,0.00,0.00,0.00,0.00,0.00,0.00,66.00,340.00,340.00,66.00,0.00,77.1052,-54.6540,127.2236,0.00,66.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.6600,0.0000,0.0000,0.3300,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NFCM,SKU001,12,83.00,233.00,55,0.0100,230.00,0.00,10000000000.00,28.00,10000000000.00,1.00,0.00,0.00,90.00,1.3968,0.00,1.00,0.00,218.00,0.00,143.00,111.40,31.60,0.00,0.00,94.80,118.10,-23.30,0.00,90.00,78.20,86.50,81.70,0.00,0.00,0.00,0.00,0.00,0.00,90.00,316.00,316.00,90.00,0.00,44.1389,-32.5454,114.1186,0.00,90.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.9000,0.0000,0.0000,0.4500,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
37,X,SKU001,1,105.00,96.00,45,0.0100,376.00,0.00,10000000000.00,57.00,10000000000.00,1.00,0.00,0.00,0.00,0.5731,0.00,1.00,0.00,466.00,0.00,101.40,81.30,20.10,0.00,0.00,60.30,69.90,-9.60,0.00,0.00,39.30,49.80,-10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201.00,201.00,0.00,0.00,11.5193,-5.5018,-6.0176,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.0000,0.0000,0.0000,0.0000,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
38,X,SKU001,2,70.00,111.00,45,0.0100,196.00,0.00,10000000000.00,13.00,10000000000.00,1.00,0.00,0.00,0.00,0.7773,0.00,1.00,0.00,536.00,0.00,86.40,68.30,18.10,0.00,0.00,54.30,65.40,-11.10,0.00,0.00,40.30,47.30,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.00,181.00,0.00,0.00,14.0691,-8.6280,-5.4411,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.0000,0.0000,0.0000,0.0000,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
39,X,SKU001,3,54.00,105.00,40,0.0100,622.00,0.00,10000000000.00,48.00,10000000000.00,1.00,0.00,0.00,0.00,1.4559,0.00,1.00,0.00,271.00,0.00,74.40,58.50,15.90,0.00,0.00,47.70,58.20,-10.50,0.00,0.00,36.90,42.30,-5.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.00,159.00,0.00,0.00,23.1488,-15.2870,-7.8619,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.0000,0.0000,0.0000,0.0000,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
40,X,SKU001,4,62.00,83.00,53,0.0100,301.00,0.00,10000000000.00,41.00,10000000000.00,1.00,0.00,0.00,0.00,0.8290,0.00,1.00,0.00,579.00,0.00,70.40,55.90,14.50,0.00,0.00,43.50,51.80,-8.30,0.00,0.00,31.10,37.30,-6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.00,145.00,0.00,0.00,12.0205,-6.8807,-5.1398,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,TRUE,FALSE,TRUE,0.0000,0.0000,0.0000,0.0000,,8/1/25,8/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,
